"kd_provinsi","nama_kampus","jenis_kampus","status_kampus"
"P001","Politeknik Indonesia Venezuela ","politeknik","swasta"
"P002","Politeknik Informatika Del Toba Samosir ","politeknik","swasta"
"P002","Politeknik IT&B Medan ","politeknik","swasta"
"P008","Politeknik Jambi","politeknik","swasta"
"P006","Politeknik Kampar","politeknik","swasta"
"P006","Politeknik Kelautan dan Perikanan Dumai","politeknik","negeri"
"P006","Politeknik Kesehatan Kementerian Kesehatan","politeknik","negeri"
"P009","Politeknik Kesehatan Kesuma Bangsa","politeknik","swasta"
"P005","Politeknik Kesehatan Provinsi Bengkulu","politeknik","negeri"
"P004","Politeknik Kesehatan Siteba","politeknik","swasta"
"P002","Politeknik Kesehatan YRSU Dr Rusdi ","politeknik","swasta"
"P001","Politeknik Kutaraja ","politeknik","swasta"
"P002","Politeknik LPI Medan ","politeknik","swasta"
"P002","Politeknik Mandiri Bina Prestasi ","politeknik","swasta"
"P010","Politeknik Manufaktur Negeri Bangka Belitung","politeknik","negeri"
"P010","Politeknik Manufaktur Timah","politeknik","swasta"
"P003","Politeknik Muara Dua","politeknik","swasta"
"P007","Politeknik Negeri Batam","politeknik","negeri"
"P006","Politeknik Negeri Bengkalis","politeknik","negeri"
"P009","Politeknik Negeri Lampung","politeknik","negeri"
"P001","Politeknik Negeri Lhokseumawe ","politeknik","negeri"
"P002","Politeknik Negeri Medan","politeknik","negeri"
"P004","Politeknik Negeri Padang","politeknik","negeri"
"P003","Politeknik Negeri Sriwijaya","politeknik","negeri"
"P003","Politeknik Palcomtech","politeknik","swasta"
"P007","Politeknik Pariwisata Batam","politeknik","swasta"
"P002","Politeknik Pariwisata Medan","politeknik","negeri"
"P003","Politeknik Pariwisata Palembang","politeknik","negeri"
"P006","Politeknik Pasir Pengaraian","politeknik","swasta"
"P001","Politeknik Pelayaran Malahayati ","politeknik","negeri"
"P004","Politeknik Pelayaran Sumatera Barat","politeknik","negeri"
"P002","Politeknik Pembangunan Pertanian Medan","politeknik","negeri"
"P002","Politeknik Penerbangan Medan","politeknik","negeri"
"P003","Politeknik Penerbangan Palembang","politeknik","negeri"
"P004","Politeknik Pertanian Negeri Payakumbuh","politeknik","negeri"
"P002","Politeknik Poliprofesi Medan ","politeknik","swasta"
"P002","Politeknik Profesional Mandiri ","politeknik","swasta"
"P002","Politeknik Santo Thomas ","politeknik","swasta"
"P003","Politeknik Sekayu","politeknik","swasta"
"P002","Politeknik Tanjungbalai ","politeknik","swasta"
"P002","Politeknik Teknologi Kimia Industri Medan","politeknik","negeri"
"P003","Politeknik Transportasi Sungai Danau dan Penyeberangan","politeknik","negeri"
"P004","Politeknik Tri Dharma","politeknik","swasta"
"P002","Politeknik Trijaya Krama ","politeknik","swasta"
"P002","Politeknik Tugu  Medan ","politeknik","swasta"
"P002","Politeknik Unggul LPM ","politeknik","swasta"
"P002","Politeknik Wilmar Bisnis Indonesia ","politeknik","swasta"
"P002","Politeknik Yanada ","politeknik","swasta"
"P003","Politeknik YPPB Belitang","politeknik","swasta"
"P005","Poltekkes Kemenkes Bengkulu","politeknik","negeri"
"P008","Poltekkes Kemenkes Jambi","politeknik","negeri"
"P002","Poltekkes Kemenkes Medan","politeknik","negeri"
"P004","Poltekkes Kemenkes Padang","politeknik","negeri"
"P003","Poltekkes Kemenkes Palembang","politeknik","negeri"
"P010","Poltekkes Kemenkes Pangkal Pinang","politeknik","negeri"
"P009","Poltekkes Kemenkes Tanjung Karang","politeknik","negeri"
"P007","Poltekkes Kemenkes Tanjung Pinang","politeknik","negeri"
"P002","S.T. Manajemen Bisnis Multi Sarana Manajemen Administrasi dan Rekayasa Teknologi ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Agama Buddha Bodhi Dharma ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Agama Buddha Dharmaduta Mahayana Tanah Suci Indonesia ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Agama Buddha Maitreyawira","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Agama Hindu Lampung","SekolahTinggi","negeri"
"P001","Sekolah Tinggi Agama Islam Aceh Tamiang ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Agama Islam Al Mujtahadah Pekanbaru","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Agama Islam Al-Ma`arif Way Kanan","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Agama Islam Ash-Shiddiqiyah Lempuing Jaya OKI","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Agama Islam Baturaja","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Agama Islam Ibnu Rusyd","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Agama Islam Nahdlatul Ulama Kepulauan Riau","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Agama Islam Negeri Bengkalis","SekolahTinggi","negeri"
"P002","Sekolah Tinggi Agama Islam Negeri Mandailing Natal","SekolahTinggi","negeri"
"P007","Sekolah Tinggi Agama Islam Negeri Sultan Abdurrahman Kepulauan Riau","SekolahTinggi","negeri"
"P001","Sekolah Tinggi Agama Islam Nurul Arafah Panton Labu Aceh Utara ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Agama Islam Nurul Ilmi Tanjungbalai ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Agama Islam Perguruan Tinggi Ilmu Al-Quran Aceh ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Agama Islam Sulthan Syarif Hasyim Siak Sri Indrapura Riau","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Agama Islam YASNI Muara Bungo","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Agama Kristen Bina Citra Persada Medan ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Agama Kristen Emmanuel Agung Nias ","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Agama Kristen PAIS Batam","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Akuntansi dan Manajemen Indonesia ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Alkitab GPDI Beiji ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Bahasa Asing Harapan ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Bahasa Asing Methodist","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Bahasa Asing Persada Bunda","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Bahasa Asing Prayoga","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Bahasa Asing Swadaya Medan ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Bahasa Asing Teknokrat","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Bahasa Asing Widya Dharma Palembang","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Bahasa Asing Yunisla Bandar Lampung","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Bibelvrouw HKBP Laguboti ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Diakones HKBP Balige ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ekonomi Bisnis Islam Liwa","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ekonomi dan Bisnis Islam (STEBIS) Pagaralam","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Ekonomi dan Bisnis Islam Batam","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ekonomi Dan Bisnis Islam Darussalam Ogan Komering Ilir Sumsel","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ekonomi dan Bisnis Islam Lampung","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ekonomi dan Bisnis Islam Muara Enim Sumatera Selatan","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ekonomi dan Bisnis Islam Nur Ilmi Al-Ismailiyun","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ekonomi dan Bisnis Islam Tanggamus Lampung","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ekonomi dan Bisnis Syariah (STEBIS) Indo Global Mandiri","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ekonomi Islam Al Furqon Prabumulih Sumatera Selatan ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ekonomi Islam Ar-Risalah Sumatera Barat","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ekonomi Islam Darul Quran Minak Selebah","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ekonomi Islam Sekayu Palembang ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ekonomi Syariah Manna Wa Salwa Tanah Datar Sumatera Barat","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ekonomi Syariah Tunas Palapa Lampung Tengah","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ekonomi Teladan ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Farmasi Indonesia Perintis Padang","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Filsafat Theologi Surya Nusantara ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Guru Huria HKBP Sipoholon ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Hukum YNI ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Administrasi Adabiah","SekolahTinggi","swasta"
"P005","Sekolah Tinggi Ilmu Administrasi Bengkulu","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Administrasi Iskandar Thani ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Administrasi Lancang Kuning","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Administrasi Lppn","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Administrasi Nasional ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Administrasi Pagaruyung","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Administrasi Pelita Nusantara ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Administrasi Satya Negara ","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Administrasi Setih Setio","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Agama Buddha Jinarakkhita","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Al-Quran (STIQ) An-Nur Lempuing OKI ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Al-Quran Al-Lathifiyyah Palembang Sumatera Selatan ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Al-Quran Ash-Shiddiq Aceh Besar ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Al-Quran Darussalam Lhokseumawe Aceh ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Bahasa Asing ITMI Medan ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Abdi Nusa ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Al-Hikmah ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Al-Madani","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Al-Washliyah ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Aprin ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Ekonomi Bangkinang","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Ilmu Ekonomi Bentara Persada Batam","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Bina Karya ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Bina Warga ","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Ilmu Ekonomi Cakrawala","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi dan Bisnis Prana Putra ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Deli Sumatera ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Ekonomi Dharma Andalas","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Ekonomi Dharma Putra Pekanbaru","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Dwi Sakti Baturaja ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Eka Prasetya ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Ekonomi El Hakim","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Ilmu Ekonomi Galileo","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Gentiaras","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Graha Kirana ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Ekonomi Gunung Leuser ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Ekonomi Haji Agus Salim","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Harapan ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi IBBI ","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Ilmu Ekonomi Ibnusina","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Ekonomi Indonesia Banda Aceh ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Indonesia Medan ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Ekonomi Indragiri Rengat","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi ITMI Medan ","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Ekonomi Jambi","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Ekonomi KBP","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Ekonomi Kebangsaan Bireuen ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Krakatau","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Labuhan Batu ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Lantim Way Jepara","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Lembah Dempo ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Ekonomi Lhokseumawe ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi LMII ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Mahkota Tricom Unggul ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Mars ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Mitra Lampung","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Asahan ","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Jambi","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Kalianda","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Pringsewu","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Mulia Darma Pratama ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Musi ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Musi Rawas ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Nusa Bangsa ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Ekonomi Pagaruyung","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Ekonomi Pasaman","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Pelita Bangsa ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Ekonomi Pelita Indonesia","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Pembangunan Nasional ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Ekonomi Perbankan Indonesia","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Ekonomi Perdagangan","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Ekonomi Persada Bunda","SekolahTinggi","swasta"
"P010","Sekolah Tinggi Ilmu Ekonomi Pertiba","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Prabumulih ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Prasetiya Mandiri Lampung","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Profesional Indonesia ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Ekonomi Purna Graha","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Ragam Tunas","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Rahmaniyah ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Riama ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Ekonomi Riau","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Ekonomi Sabang ","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Ekonomi Sakti Alam Kerinci","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Satu Nusa","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Serasan Muara Enim ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Serelo Lahat ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Sultan Agung ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Ekonomi Sumbar","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Surya Nusantara ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Sutomo Deli Serdang ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Swadaya ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Syariah Alifa Pringsewu Lampung","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Ekonomi Syariah Bengkalis","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Ekonomi Syariah Darul Huda Mesuji Lampung","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Ekonomi Syariah Imam Asy Syafii Pekanbaru Riau","SekolahTinggi","swasta"
"P005","Sekolah Tinggi Ilmu Ekonomi Syariah Nahdlatul Ulama Bengkulu","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Tricom ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Ekonomi Trisna Negara ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Ekonomi Tuah Negeri","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Ekonomi Y P Kampus ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Ekonomi YPHB ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Farmasi Bhakti Pertiwi ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Farmasi Padang","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Farmasi Riau","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Hukum Al-Banna ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Hukum Al-hikmah ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Hukum Asy-Syafi iyah Medan ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Hukum Benteng Huraba ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Hukum Deli Sumatera ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Hukum Graha Kirana ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Hukum Indonesia Medan ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Hukum Kebangsaan Bireuen ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Hukum Labuhan Batu ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Hukum Lubuk Sikaping","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Hukum Muhammadiyah Kalianda","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Hukum Muhammadiyah Kisaran ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Hukum Muhammadiyah Kotabumi","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Hukum Muhammadiyah Takengon ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Hukum Nias Selatan ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Hukum Padang","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Hukum Painan","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Hukum Persada Bunda","SekolahTinggi","swasta"
"P010","Sekolah Tinggi Ilmu Hukum Pertiba Pangkalpinang","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Hukum Rahmaniyah ","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Hukum Riau","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Hukum Serasan Muara Enim ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Hukum Sumpah Pemuda ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Hukum Swadaya ","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Hukum YPM","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Kehutanan Pante Kulu ","SekolahTinggi","swasta"
"P010","Sekolah Tinggi Ilmu Kesehatan Abdi Nusa","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Kesehatan Abdurahman Palembang ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Kesehatan Al Ma arif ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Kesehatan Al-Suaibah ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Kesehatan Alifah Padang","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Arjuna ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Arta Kabanjahe ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Audi Husada Medan ","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Kesehatan Baiturrahim","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Kesehatan Bina Husada ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Binalita Sudama ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Kesehatan Ceria Buana","SekolahTinggi","swasta"
"P005","Sekolah Tinggi Ilmu Kesehatan Dehasen","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Deli Husada ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Kesehatan Fitrah Aldar ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Flora ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Kesehatan Fort De Kock","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Kesehatan Garuda Putih","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Kesehatan Hang Tuah","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Kesehatan Har Kausyar","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Kesehatan Harapan Bangsa ","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Kesehatan Harapan Ibu Jambi","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Helvetia ","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Ilmu Kesehatan Ibnu Sina Batam","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Imelda ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Indah Medan ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Kesehatan Indonesia","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Ilmu Kesehatan Karimun","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Kesehatan Keluarga Bunda Jambi","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Kesehatan Baru ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Kesehatan Langsa ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Kesehatan Lenggogeni Padang","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Medistra ","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Kesehatan Merangin","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Kesehatan Mitra Adiguna ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Mitra Husada Medan ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Kesehatan Mitra Lampung","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Aceh ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Mutiara Indonesia ","SekolahTinggi","swasta"
"P009","Sekolah Tinggi Ilmu Kesehatan Panca Bhakti","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Kesehatan Payung Negeri","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Kesehatan Perdhaki Charitas ","SekolahTinggi","swasta"
"P010","Sekolah Tinggi Ilmu Kesehatan Permata Nusantara","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Kesehatan Prima","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan RS Haji Medan ","SekolahTinggi","swasta"
"P005","Sekolah Tinggi Ilmu Kesehatan Sapta Bakti","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Sehat Medan ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Kesehatan Siti Khadijah ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Kesehatan Sumatera Barat","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Kesehatan Sumatera Utara ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Kesehatan Syedza Saintika","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Kesehatan U budiyah ","SekolahTinggi","swasta"
"P004","Sekolah Tinggi Ilmu Kesehatan YPAK Padang","SekolahTinggi","swasta"
"P008","Sekolah Tinggi Ilmu Komputer Dinamika Bangsa","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Komputer Medan ","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Ilmu Komputer Muhammadiyah Batam","SekolahTinggi","swasta"
"P006","Sekolah Tinggi Ilmu Komputer Pelita Indonesia","SekolahTinggi","swasta"
"P007","Sekolah Tinggi Ilmu Komunikasi Internasional Gurindam Archipelago","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Komunikasi Pembangunan ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Manajemen ","SekolahTinggi","swasta"
"P003","Sekolah Tinggi Ilmu Manajemen Amkop ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Manajemen Indonesia Meulaboh ","SekolahTinggi","swasta"
"P002","Sekolah Tinggi Ilmu Manajemen Medan ","SekolahTinggi","swasta"
"P001","Sekolah Tinggi Ilmu Manajemen Pase ","SekolahTinggi","swasta"
